address,choice,voting_power,timestamp,author_ipfs_hash,reason
0x1fb1f1D3620eaB8e3b69DD2b2c40933a61C7F276,2,14,1711989633,bafkreid3ydo7etmqaelp3dk5tdsejth7y2sywdaqvmtezhuajwwrxe5vtu,"Swarm needs price stability as more as possible"
0x033Bd22972c4B862d17192e5570152945E9D9d39,2,16,1711989872,bafkreibssizbsj2vnmk2nqrlrlwvzoymazhdaftdgk3peiadljpgprioqm,"Swarm needs price stability as more as possible"
0x533483671Bb9b62a7EdF2ac094DDeDB70f112886,2,22,1711990057,bafkreibynq2rd7srajf6jo6mbeojeax7sgynxguy223fqni7zbucdwejrq,"Swarm needs price stability as more as possible"
0x169DB01A5fC1A5e212e06F88E24947AF3b8952dc,2,282,1711990534,bafkreieptvexy2mrkcnetoy73btoeoy73trvtjvdhjgsqqvr5soqukbzpm,"Swarm needs price stability as more as possible"
0xF71248F857C00012CD66dabA2d82AA776880F4E5,2,174,1711991533,bafkreihzketd3n5zqmhhp6ehb2xp3bxrmsdjylgreoidf3bquoratykvga,"Swarm needs price stability as more as possible"
0x46A55B720DFD866B8b93fBBEA9694741D5e00d3E,2,32,1711992315,bafkreiesdblm5ncis2ebeyqj53a35ummrmwjurrvmxxlpl64xjp7yc5rz4,""
0x0B271F90f8Ab41F82195d1BD3C14a7E3DF1Bc75c,1,1,1712047824,bafkreia5a2ky53ulbsbby2w7uy5ogsie7h2hyy6kmvbczxlbsxmhst62bq,""
0x9897F56c1B8ed3653EB37795007333378Ef55989,1,12,1712048257,bafkreiauvlg3zjczi77vjzujk6q75onbmmmc5pk6j3wsjgzdtccfrrrpy4,""
0x26B945A1ec4729Db04Ac8Ed597ed4Ace26dB5692,1,74,1712058393,bafkreigul2ggw6lahcw7ugfgqc7qxaov6wnes7olo3yyepzg2v2nrbs7u4,"Unfavorable currency price"
0xEED4ca2F2DA992D3C2eB2A7633FE1db0573d4c45,1,9,1712066434,bafkreibavh56an4bf2m2mdqwliiza3smmxsqadviyvrb47s32w2maklmre,""
0x1587793F4CCFD98eCD095efC3CE669898f6383F9,1,10,1712066470,bafkreigrt4pzjclxtrvcziokqlej4cyuhathea2wzyqldbpjhmmzmawcra,""
0xCd399dE083AFDcA2F2a5329668bE2d2170a30B46,1,17,1712066499,bafkreifr6ufy4xq64xg225c26ihcgnnrlt36dgrpagy5fiyhvnmbzl2sly,""
0xe9aEEcc3b669526168e802c73825925928b5207b,1,14,1712066530,bafkreidihf7roryt6vgayzp4pooo73u7rjec7ruxaadzcbkmompau3vl34,""
0x6112A16b9a5239dD6d6b7A56CBd29382eF4A1F39,1,14,1712066605,bafkreihlp6awcbuceyffdfyvjsgbpivd4iosrhh4kk327rrpzh6otofhre,""
0x0D0Dd5f0D859CaF988c69d7aeA4074b3b753b8c8,1,12,1712066645,bafkreihiimjf5xgcurbqw7k5opssgx7bzdpdmbzugqhmw4enup2d64eehq,""
0x24a714a6305C8B85dAAafa0b6263FB78f770E25a,1,15,1712066664,bafkreifchgwrdktoriec5aozddiyopfsdaga6sdnf2f7agwecdyd7awozy,""
0xbb4e59B8E479fA98e317F1c5Cee631eF07908Ac7,1,18,1712066708,bafkreiab2ivmzmwdmm3oukl4soeh7mh7zl24yhgdbuyionqfrlbuywccha,""
0x2872e7DD68c27E292918fBfbfDfD9E16f3D2373e,1,12,1712066758,bafkreigjjvgrlmqo24mvkqmymnpb4ly6fa6ii2ouixvv6wh6gr3fd7igwy,""
0xb344D7969bAC37740d2F4d0ecFbE35F7B89baed9,1,10,1712066788,bafkreiab3lqt4cqksekpqrg3fzykkx3eqowc2mhxiffcsblmlmxb6mrfoq,""
0x6E4a2013eEe8A36eCfB61a06216a78C90C586e80,1,10,1712066804,bafkreihnpeqv3iedgf6sjvongen6exmatccftzps3koijib7psyiy6vq54,""
0x96A6506f20E85c3dcefDb9423DA5dE9371424657,1,7,1712066837,bafkreidtvnonvvj7p6x3z4vvp5lzb27tpml64joczqlqiyx2lwkctozgte,""
0x06291Cb2dE73A0f7508512ef47790091E77B077E,1,15,1712066855,bafkreic3e6bwryed6b7ec24qhmn3kkxssfokqhsvrqqgnkmrbzkl73kul4,""
